swiss_french,standard_french,dialect,part_of_speech,definition,source,notes
arbre,N.P.àlachotte ,vaud,unknown,.N.P.àlachotte .,Glossaire vaud (1861),Line 233
neutre,"Enlatin pes,signifie pied .",vaud,unknown,";ainsi N.P.ilabsente lamaison ,ilabsente souvent but,pour voir quijouera lepremier .N.P.pider .(Enlatin pes,signifie pied .)",Glossaire vaud (1861),Line 235
accompagneur,,vaud,unknown,.,Glossaire vaud (1861),Line 244
ter,un arbre ,vaud,unknown,un arbre .,Glossaire vaud (1861),Line 246
aaccouché,,vaud,unknown,marque l'action :elleaaccouché avec courage .,Glossaire vaud (1861),Line 248
sement,,vaud,unknown,". maiss'accourir .P.F.Onnepeut pasdire,j'aiacheté un",Glossaire vaud (1861),Line 250
quarteron,,vaud,unknown,deblépour m'accourir enattendant .,Glossaire vaud (1861),Line 254
onnepeut,,vaud,unknown,pasdire j'aiaccoutumé cette place :D.jesuis,Glossaire vaud (1861),Line 256
accoutumé,àcette place ,vaud,unknown,àcette place .,Glossaire vaud (1861),Line 257
unesorte,,vaud,unknown,"d'exclamation quisignifie attrape !dont onsesert lorsqu'on aditàquelqu'un unmot bien appliqué . n'est pas.N.P.faire encroire . rer,racirer .-Aciérer signifie convertir leferenacier .",Glossaire vaud (1861),Line 260
finir,une affaire ,vaud,unknown,une affaire .,Glossaire vaud (1861),Line 268
tageuses,,vaud,unknown,.N.P.acquérir une mauvaise réputation .,Glossaire vaud (1861),Line 270
aune,,vaud,unknown,tout autre signification .,Glossaire vaud (1861),Line 272
dant,,vaud,unknown,"une personne ,mais enlaquittant .Enl'abordant ,on",Glossaire vaud (1861),Line 274
peut,,vaud,unknown,"dire :bonjour ,Monsieur ,Madame .Enlaquittant il",Glossaire vaud (1861),Line 275
faut,,vaud,unknown,"dire,adieu Monsieur ,Madame .Nous disons bien adieu !",Glossaire vaud (1861),Line 276
audépart,,vaud,unknown,",mais seulement auxpersonnes quenous tutoyons ;",Glossaire vaud (1861),Line 277
auxautres,,vaud,unknown,nous disons bonjour ;c'est àtort.,Glossaire vaud (1861),Line 278
ilafallu,"payer ,adieu ,jet'aivu!P.F",vaud,unknown,"payer ,adieu ,jet'aivu!P.F.",Glossaire vaud (1861),Line 284
judication, 14 ADM,vaud,unknown,. 14 ADM,Glossaire vaud (1861),Line 286
admonestation,,vaud,unknown,.,Glossaire vaud (1861),Line 290
environ,,vaud,unknown,".... fort,gagner avec peine .Cemot,quiestfréquemment em-",Glossaire vaud (1861),Line 293
ployé,,vaud,unknown,"dans lecanton deVaud ,pourrait être conservé .On",Glossaire vaud (1861),Line 296
litdans,"Précellence dulangage ,etc.",vaud,unknown,"H.Estienne (Précellence dulangage ,etc.):",Glossaire vaud (1861),Line 297
donner,,vaud,unknown,"dumal,peiner ,dans lepatois deMarseille ;onappelle pareil-",Glossaire vaud (1861),Line 299
lement,,vaud,unknown,affaneurs dans leLyonnais ceux quitravaillent àlaterre .,Glossaire vaud (1861),Line 300
cevoir,quelque relation ,vaud,unknown,quelque relation .,Glossaire vaud (1861),Line 302
abécher,,vaud,unknown,.,Glossaire vaud (1861),Line 304
auxbestiaux,N.P.gouverner lesbêtes ,vaud,unknown,.N.P.gouverner lesbêtes .,Glossaire vaud (1861),Line 306
lettre,etc.D.l'affranchissement ,vaud,unknown,",etc.D.l'affranchissement .",Glossaire vaud (1861),Line 308
