swiss_french,standard_french,dialect,part_of_speech,definition,source,notes
RecherchedeLivressigniﬁequecelui-cipeutêtreutilisédequelquefaçonquecesoitdanslemondeentier,,vaud,unknown,Lacondamnationàlaquellevous,Glossaire Vaudois (1861),DCG parsed
Lausanne,,vaud,unknown,Imp.Georges Bridel .,Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,-M. CALLET,Glossaire Vaudois (1861),DCG parsed
PRÉFACE,,vaud,unknown,7,Glossaire Vaudois (1861),DCG parsed
Glossaire,,vaud,unknown,Ondemande silemot détabler estfrançais ?,Glossaire Vaudois (1861),DCG parsed
PRÉFACE,,vaud,unknown,9,Glossaire Vaudois (1861),DCG parsed
M,,vaud,unknown,CALLET .,Glossaire Vaudois (1861),DCG parsed
Acad,,vaud,unknown,pour Dictionnaire del'Académie .,Glossaire Vaudois (1861),DCG parsed
Besch,,vaud,unknown,>Supplément .,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,»,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,P.>,Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.>,Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,Nor .,Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,Pic .>,Glossaire Vaudois (1861),DCG parsed
Η,,vaud,unknown,Μ.»,Glossaire Vaudois (1861),DCG parsed
R,,vaud,unknown,W.,Glossaire Vaudois (1861),DCG parsed
MM,,vaud,unknown,Edélestand etDuméril .,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.lamaison àmon oncle ,lechapeau àmon frère ;D.",Glossaire Vaudois (1861),DCG parsed
ABATIS,,vaud,noun_masculine,"Lespieds ,le",Glossaire Vaudois (1861),DCG parsed
ABATTRE,,vaud,verb_active,N.P.iladel'ouvrage tant qu'il enpeut,Glossaire Vaudois (1861),DCG parsed
ABC,,vaud,noun_masculine,Livre pour apprendre àlireauxenfants .N.P.,Glossaire Vaudois (1861),DCG parsed
ABOMINABLE,,vaud,adjective,Seditdetout cequiesttrèsmau-,Glossaire Vaudois (1861),DCG parsed
ABONNIR,,vaud,verb_active,etv.n.Rendre meilleur .N.P.bonner,Glossaire Vaudois (1861),DCG parsed
ABREUVOIR,,vaud,noun_masculine,D'abord après P.F.,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,P.unabrevoir .,Glossaire Vaudois (1861),DCG parsed
ABRI,,vaud,noun_masculine,"Semettre àl'abri sous unparapluie ,sous un",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"ils'absente delamaison ,ils'absente souvent .",Glossaire Vaudois (1861),DCG parsed
ABUTER,,vaud,unknown,"v.n.Jeter despalets ,desbilles ,etc.,vers un",Glossaire Vaudois (1861),DCG parsed
ACACIA,,vaud,noun_masculine,N.P.agacia .,Glossaire Vaudois (1861),DCG parsed
ACCOMPAGNATEUR,,vaud,noun_masculine,"Terme demusique ,N.P.",Glossaire Vaudois (1861),DCG parsed
ACCOTER,acco-,vaud,verb_active,Appuyer decôté.N.P.coter ;D.acco-,Glossaire Vaudois (1861),DCG parsed
ACCOUCHER,,vaud,verb_neutral,Seconjugue avec avoir etêtre.Elle,Glossaire Vaudois (1861),DCG parsed
ACCOURIR,,vaud,verb_neutral,"Accourir ,venir àlahâte,peut sedire,",Glossaire Vaudois (1861),DCG parsed
ACCOUTUMER,,vaud,verb_active,"Accoutumer étant unverbe actif,",Glossaire Vaudois (1861),DCG parsed
ACCROCHER,,vaud,verb_active,Nous faisons del'impératif accroche !,Glossaire Vaudois (1861),DCG parsed
ACCROIRE,,vaud,verb_neutral,faire accroire signifie faire croire cequi,Glossaire Vaudois (1861),DCG parsed
ACÉRER,,vaud,verb_active,Mettre del'acier après lefer.N.P.aci-,Glossaire Vaudois (1861),DCG parsed
ACHEVER,"terminer ,",vaud,verb_active,"N.P.achever uneaffaire ;D.terminer ,",Glossaire Vaudois (1861),DCG parsed
ACQUÉRIR,,vaud,verb_active,Nepeut sedirequedeschoses avan-,Glossaire Vaudois (1861),DCG parsed
ADAPTER,,vaud,verb_neutral,"Appliquer ,ajuster .N.P.adopter ,qui",Glossaire Vaudois (1861),DCG parsed
ADIEU,,vaud,noun_masculine,Cette salutation nes'adresse pasenabor-,Glossaire Vaudois (1861),DCG parsed
Jetedisbonjour,,vaud,unknown,"Oui,pour t'enfuir deceslieux ,",Glossaire Vaudois (1861),DCG parsed
ADJUDICATION,faire l'ad-,vaud,noun_feminine,N.P.faire l'échute ;D.faire l'ad-,Glossaire Vaudois (1861),DCG parsed
ADMONÉTER,,vaud,verb_active,N.P.admonester .,Glossaire Vaudois (1861),DCG parsed
ADMONITION,,vaud,noun_feminine,"Avertissement ,réprimande .N.P.",Glossaire Vaudois (1861),DCG parsed
AÉRER,,vaud,verb_active,"N.P.érer,prononcez a-é-ré.",Glossaire Vaudois (1861),DCG parsed
AFFAIRE,,vaud,noun_feminine,Ilyal'affaire de....P.F.Onditilya,Glossaire Vaudois (1861),DCG parsed
AFFANNER,,vaud,verb_active,Signifiait autrefois travailler avec ef-,Glossaire Vaudois (1861),DCG parsed
AFFLEURER,,vaud,verb_active,"Toucher ,être encontact .N.P.",Glossaire Vaudois (1861),DCG parsed
AFFOURAGER,,vaud,verb_active,etn.Distribuer des fourrages,Glossaire Vaudois (1861),DCG parsed
AFFRANCHISSEMENT,,vaud,noun_masculine,N.P.l'affranchissage d'une,Glossaire Vaudois (1861),DCG parsed
AGE,ànotre âge.,vaud,noun_masculine,N.P.ànosâges;D.ànotre âge.,Glossaire Vaudois (1861),DCG parsed
AGENT,unagent depolice .Je,vaud,noun_masculine,N.P.ungâpion ;D.unagent depolice .Je,Glossaire Vaudois (1861),DCG parsed
AGILITÉ,,vaud,noun_feminine,Neditespasagileté .,Glossaire Vaudois (1861),DCG parsed
AGIR,ilen,vaud,verb_neutral,"Enagir bien,enagir mal,P.F. D.ilen",Glossaire Vaudois (1861),DCG parsed
AGNEL,,vaud,noun_masculine,Espèce demonnaie d'or qui,Glossaire Vaudois (1861),DCG parsed
AGONISER,,vaud,verb_neutral,"Etre àl'agonie .Ceverbe étant neutre ,",Glossaire Vaudois (1861),DCG parsed
AGRAFER,,vaud,verb_active,Leverbe crocher P.F.,Glossaire Vaudois (1861),DCG parsed
AGRÉABLE,,vaud,adjective,"N.P.agriable ,désagriable .",Glossaire Vaudois (1861),DCG parsed
AIDER,,vaud,verb_active,"etn.Aider quelqu'un ,c'est simplement l'as-",Glossaire Vaudois (1861),DCG parsed
AIGAYER,,vaud,verb_active,"Baigner ,laver .Aigayer uncheval ,le",Glossaire Vaudois (1861),DCG parsed
AIGREFIN,,vaud,noun_masculine,Chevalier d'industrie .Aigrefin nepeut,Glossaire Vaudois (1861),DCG parsed
AIGUILLON,,vaud,noun_masculine,.,Glossaire Vaudois (1861),DCG parsed
AIGUISER,,vaud,verb_active,..,Glossaire Vaudois (1861),DCG parsed
AIMER,,vaud,verb_active,Ceverbe prend àdevant l'infinitif .Aimer,Glossaire Vaudois (1861),DCG parsed
AINSI,,vaud,adverb,"N.P.ainsi donc,vous nelevoulez pas;",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"ainsi vous ,etc.Onnetrouve pasdans lesdictionnaires la",Glossaire Vaudois (1861),DCG parsed
AIR,,vaud,noun_masculine,"Ondoitdire cette femme al'airbon,l'air spi-",Glossaire Vaudois (1861),DCG parsed
AIRELLE,,vaud,noun_feminine,N.P.desembroches .,Glossaire Vaudois (1861),DCG parsed
AIS,,vaud,noun_masculine,Planche debois.,Glossaire Vaudois (1861),DCG parsed
AISE,,vaud,noun_feminine,"Moyenné nepeut sedire pour être àsonaise,",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.,Glossaire Vaudois (1861),DCG parsed
AISNE,,vaud,noun_feminine,Rivière etdépartement deFrance .,Glossaire Vaudois (1861),DCG parsed
AJACCIO,(Pr.Ajakcio .)Ville de,vaud,unknown,(Pr.Ajakcio .)Ville del'île deCorse .,Glossaire Vaudois (1861),DCG parsed
AJOUTER,,vaud,verb_active,"Les verbes appondre ,rappondre ,P.F.",Glossaire Vaudois (1861),DCG parsed
ALBERGE,,vaud,noun_feminine,Petite pêche jaune .N.P.uneoberge .,Glossaire Vaudois (1861),DCG parsed
ALCOVE,une al-,vaud,noun_feminine,"N.P.unalcove ,une alcovre ;D.une al-",Glossaire Vaudois (1861),DCG parsed
ALENTOUR,,vaud,adverb,Cemot neprend jamais derégime .,Glossaire Vaudois (1861),DCG parsed
N,autour delatable .,vaud,unknown,P.alentour delatable ;D.autour delatable .,Glossaire Vaudois (1861),DCG parsed
ALGUAZIL,,vaud,noun_masculine,.,Glossaire Vaudois (1861),DCG parsed
ALLER,,vaud,verb_neutral,Ondit:Jesuisalléetj'aiété.J'aiétésuppose,Glossaire Vaudois (1861),DCG parsed
N,jedois,vaud,unknown,P.j'aiplusieurs endroits àaller aujourd'hui ;D.jedois,Glossaire Vaudois (1861),DCG parsed
N,Jevais vous expli-,vaud,unknown,P.Jem'en vais vous expliquer ...D.Jevais vous expli-,Glossaire Vaudois (1861),DCG parsed
ALLONGE,une,vaud,noun_feminine,"N.P.Une apponse ,unerapponse ;D.une",Glossaire Vaudois (1861),DCG parsed
ALLUMER,,vaud,verb_active,"Onnepeut allumer lalumière ,nial-",Glossaire Vaudois (1861),DCG parsed
ALMANACH,,vaud,noun_masculine,.Unnouvel almanach .,Glossaire Vaudois (1861),DCG parsed
GLOSS,,vaud,unknown,VAUD . 2,Glossaire Vaudois (1861),DCG parsed
ALORS,,vaud,adverb,.,Glossaire Vaudois (1861),DCG parsed
ALOURDIR,,vaud,verb_active,Rendre lourd .N.P.Jesuis tout abe-,Glossaire Vaudois (1861),DCG parsed
ALPHABET,,vaud,noun_masculine,.,Glossaire Vaudois (1861),DCG parsed
AMADOU,,vaud,noun_masculine,Amadou estdugenre masculin .,Glossaire Vaudois (1861),DCG parsed
AMADOUER,,vaud,verb_active,"Flatter ,caresser ,allécher .N.P.api-",Glossaire Vaudois (1861),DCG parsed
AMASSER,,vaud,verb_active,Amasser nepeut sedire pour manger,Glossaire Vaudois (1861),DCG parsed
AMATEUR,,vaud,adjective,Quelques auteurs ontfaitusage deama-,Glossaire Vaudois (1861),DCG parsed
AMIDON,,vaud,noun_masculine,Amidon estdugenre masculin .,Glossaire Vaudois (1861),DCG parsed
AMOINDRIR,,vaud,verb_active,Lafaim aamoindri lesforces decet,Glossaire Vaudois (1861),DCG parsed
AMPUTER,,vaud,verb_active,"Faire l'amputation .N.P.imputer ,faire",Glossaire Vaudois (1861),DCG parsed
AN,,vaud,noun_masculine,"ANNÉE ,s.f.L'an présente l'idée d'untout",Glossaire Vaudois (1861),DCG parsed
ANANAS,,vaud,noun_masculine,-,Glossaire Vaudois (1861),DCG parsed
ANCHOIS,des,vaud,noun_masculine,N.P.deshanchois (haspirée );D.des,Glossaire Vaudois (1861),DCG parsed
ANDAIN,,vaud,noun_masculine,Etendue qu'un faucheur peut abattre à,Glossaire Vaudois (1861),DCG parsed
ANECDOTE,,vaud,noun_feminine,N.P.une anédocte .,Glossaire Vaudois (1861),DCG parsed
ANICROCHE,,vaud,noun_feminine,Cemotn'est pasfrançais dans lesens,Glossaire Vaudois (1861),DCG parsed
ANNONCER,,vaud,verb_active,Annoncer quelqu'un nepeut sedire,Glossaire Vaudois (1861),DCG parsed
ANTAGONISTE,,vaud,noun_masculine,Enparlant d'une femme onditun,Glossaire Vaudois (1861),DCG parsed
APOSTIS,,vaud,noun_masculine,Pièces debois surlescôtés,Glossaire Vaudois (1861),DCG parsed
APPARITION,,vaud,noun_feminine,N.P.apparution .,Glossaire Vaudois (1861),DCG parsed
APPENDICE,,vaud,noun_masculine,Unappendice .,Glossaire Vaudois (1861),DCG parsed
APPÉTIT,,vaud,noun_masculine,Ungrand appétit .,Glossaire Vaudois (1861),DCG parsed
APPRÉHENDER,,vaud,verb_active,N.P.groupper unhomme pour,Glossaire Vaudois (1861),DCG parsed
APPRENDRE,,vaud,verb_active,Nepeut sedirepour enseigner :Le,Glossaire Vaudois (1861),DCG parsed
APPRÊTER,,vaud,verb_neutral,"Onditapprêter àrire,c.-à-d.,donner",Glossaire Vaudois (1861),DCG parsed
ARAIGNÉE,,vaud,noun_feminine,"N.P.unearagne ,uneara-",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"ôterlestoiles d'araignées ,ousimplement ôterlesaraignées .",Glossaire Vaudois (1861),DCG parsed
ARASER,,vaud,verb_active,"Mettre unmur,etc.deniveau avec unau-",Glossaire Vaudois (1861),DCG parsed
ARBALÈTE,,vaud,noun_feminine,N.P.arbelète .,Glossaire Vaudois (1861),DCG parsed
ARBRE,,vaud,noun_masculine,N.P.unabre .Vaugelas (403º obs.)dit,Glossaire Vaudois (1861),DCG parsed
ARDEUR,"une ardeur ,une",vaud,noun_feminine,"N.P.une raveur ;D.une ardeur ,une",Glossaire Vaudois (1861),DCG parsed
ARDILLON,,vaud,noun_masculine,Pointe aumilieu d'une boucle .N.P.,Glossaire Vaudois (1861),DCG parsed
ARÉNER,,vaud,verb_neutral,S'affaisser parlepoids.Ce,Glossaire Vaudois (1861),DCG parsed
ARGENT,se,vaud,noun_masculine,N.P.setrouver àcourt d'argent ;D.se,Glossaire Vaudois (1861),DCG parsed
ARGUTIE,,vaud,noun_feminine,Raisonnement pointilleux .,Glossaire Vaudois (1861),DCG parsed
ARIDURE,,vaud,noun_feminine,"Maigreur ,consomption ducorps oud'un",Glossaire Vaudois (1861),DCG parsed
ARMISTICE,,vaud,noun_masculine,Onditunarmistice .,Glossaire Vaudois (1861),DCG parsed
ARMOIRE,,vaud,noun_feminine,"BUFFET ,s.m.Armoire ,grand meuble",Glossaire Vaudois (1861),DCG parsed
ARRAISONNER,,vaud,verb_active,"Arraisonner quelqu'un ,chercher à",Glossaire Vaudois (1861),DCG parsed
ARRANGER,,vaud,verb_active,N.P.ranger uneaffaire .MoietMon-,Glossaire Vaudois (1861),DCG parsed
ARRÊT,,vaud,noun_masculine,Signifie saisie.Faire arrêt surdel'argent .,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.barrer ,cemotn'estjamais employé dans cette acceр-",Glossaire Vaudois (1861),DCG parsed
